,latitude,longitude,altitude,station,score_direction,score_force
52,46.7,1.25,110.0,36173002.0,0.6183008526187577,0.614080424503345
53,46.59,0.31,120.0,86027001.0,0.6580934403020292,0.7018401407869203
54,46.7,-1.38,91.00000000000001,85191003.0,0.6897186230161773,0.6826008530579982
55,46.69,-2.3299999999999996,32.0,85113001.0,0.7559219693450998,0.715000657893903
56,47.44,0.72,112.00000000000001,37179001.0,0.683900153485742,0.6701194935232481
57,47.08,-0.88,135.00000000000003,49099003.0,0.6890666666666667,0.6463550074713571
58,47.31,-2.1500000000000004,4.0,44103001.0,0.6842485549132948,0.7375972053333973
59,47.47,-0.61,48.000000000000014,49020001.0,0.6720641529801835,0.6017390018770952
60,47.15,-1.6000000000000005,25.999999999999986,44020001.0,0.6778846153846154,0.6606890445588984
61,47.29,-3.2199999999999993,43.0,56009001.0,0.7354235423542355,0.9024091698773792
62,47.32,1.68,86.0,41097001.0,0.6116788321167883,0.6405007808573925
63,47.97,-4.159999999999999,85.0,29216001.0,0.7007596522828726,0.7244490454700878
64,47.99,1.77,125.0,45055001.0,0.6721698113207547,0.7608799319200661
65,47.67,1.2100000000000002,130.0,41281001.0,0.6693258251212263,0.7372286811170305
66,47.94,0.18999999999999972,52.0,72181001.0,0.6417668074050016,0.6273343809416017
67,47.72,-2.7200000000000006,132.0,56137001.0,0.7086372679045093,0.6784044393889151
68,47.76,-3.4399999999999995,43.999999999999986,56185001.0,0.7015000842743975,0.7452831118218959
69,47.56,-0.31,53.000000000000014,49188001.0,0.6645579629922506,0.6921842244914602
70,48.07,-1.7300000000000006,37.000000000000014,35281001.0,0.658257416491474,0.7037028249509515
71,48.46,1.5,156.0,28070001.0,0.6757068667051356,0.5609725085598807
72,48.06,1.38,127.0,28198001.0,0.6811079545454546,0.7156951079107444
73,48.28,-4.4399999999999995,83.0,29120001.0,0.7179026334297101,0.6841196162147132
74,48.47,-5.05,68.0,29155005.0,0.7768463408500293,0.9428412778568004
75,48.45,-4.379999999999999,98.0,29075001.0,0.713229510775523,0.7421381508795856
76,48.46,-5.05,39.0,29155008.0,0.7716180999763089,0.759140735962074
77,48.44,0.11,145.0,61001001.0,0.6533785460259697,0.6873553467392379
78,48.03,-0.75,100.00000000000001,53130008.0,0.7016548085378528,0.6913247426471624
79,48.82,-3.4699999999999993,58.0,22168001.0,0.743413957787706,0.7697592732939766
80,48.52,-4.14,115.0,29264001.0,0.7021865238732709,0.7583986850467871
81,48.75,-3.4599999999999995,87.0,22113006.0,0.7028945500433789,0.7363477973910159
82,48.58,-2.07,65.0,35228001.0,0.7085346215780999,0.7322672633829133
83,48.6,-3.8099999999999996,90.0,29151004.0,0.6899059362896214,0.7287434734249197
84,48.54,-4.659999999999999,40.0,29178001.0,0.7234735413839891,0.6564023961636989
85,48.53,-2.8499999999999996,135.00000000000003,22372001.0,0.7152939222849551,0.7185882421198655
86,48.68,-4.329999999999999,18.0,29021001.0,0.7898368883312421,1.1668083882765607
87,49.18,-0.45,67.00000000000001,14137001.000000004,0.6913504378552773,0.7737525780550033
88,49.02,1.2200000000000002,138.0,27347001.0,0.6878811986210555,0.7061724482486327
89,49.38,1.18,152.0,76116001.0,0.6953308700033591,0.7106235015099986
90,49.36,0.16,143.0,14578000.999999996,0.6947762942141017,0.6738207689481717
91,49.93,1.08,40.0,76217001.0,0.7413295923934222,0.8085185855466795
92,49.53,0.09,95.0,76481001.0,0.7300849495111396,0.7439179139214461
93,49.65,-1.4600000000000006,138.0,50209001.0,0.7378469436868281,0.738111033602968
94,49.73,-1.94,8.0,50020001.0,0.7847833170413816,0.930352217116314
95,49.51,0.07000000000000028,104.0,76552001.0,0.7105077574047954,0.9977139018486518
96,50.13,1.8300000000000003,72.0,80001001.0,0.6943524154403267,0.7004615306321531
